url,external category,iprism comment,fortigate category,fortigate subcategory
http://91.212.127.43,"malw,othm",,,
http://85.195.104.162,"malw,othm",,,
http://feeds.mobileread.com,ld,,,
http://feeds.mediaforge.com,ld,,,
http://scoop.todayshow.com/_static/feeds/,ld,,,
http://*.qksz.net,"spyw,othm",,,
http://*.awltovhc.com,"spyw,othm",,,
http://*.lduhtrp.net,"spyw,othm",,,
https://*.addons.mozilla.org/,la,,,
http://*.speedywap.com/category/downloads,ld,,,
http://*.wallpapers-point.blogspot.com,ld,,,
https://mgmt.beta.toolbar.msn.com/,la,,,
*://*.toolbar.yahoo.com,la,,,
http://*.search.yahoo.com,la,,,
http://www.sightquest.com,ld,,,
http://www.deaddybear.com,ld,,,
http://www.freepressindex.com,ld,,,
http://www.uwar-game.com,ld,,,
http://4usoftware.com,ld,,,
http://www.cinematicwallpaper.com,ld,,,
http://myms.net,ld,,,
http://dirkster.com,ld,,,
http://www.movies-studio.com,ld,,,
http://www.oceandive.com/download.php,ld,,,
http://www.all-yours.net,ld,,,
http://livinginternet.com,ld,,,
http://eventful.com/community/*,ld,,,
http://eventful.com/users,ld,,,
http://www.netflix.com/WiPlayer,ld,,,
*://*.trialpay.com,ld,,,
http://netflix-061.vo.llnwd.net,ld,,,
http://netflix061.as.nflximg.com.edgesuite.net,ld,,,
http://agmoviecontrol.cloud.netflix.net,ld,,,
*://*.freespycheck.com,ld,,,
*://*.scanforfree.com,"malw,othm",,,
*://91.212.226.6,"malw,othm",,,
*://*.bidsystem.com,"malw,othm",,,
*://68.169.92.57,"malw,othm",,,
*://*.christianwedding.net,ld,,,
*://*.namiflow.com,"spyw,othm",,,
*://67.201.62.75,"spyw,othm",,,
*://68.169.93.243,"malw,othm",,,
*://*.constructionsoftwares.ca,ld,,,
*://*.provenpixel.com,ld,,,
*://*.towtruckssales.com,ld,,,
*://67.201.62.40,"malw,othm",,,
*://68.169.92.59,"malw,othm",,,
*://li1i16b0.com,"malw,othm",,,
*://91.212.226.5,"malw,othm",,,
http://68.169.92.36,"spyw,othm",,,
http://67.201.36.16,"spyw,othm",,,
http://68.169.92.56,"malw,othm",,,
http://64.111.212.234,"malw,othm",,,
http://94.228.209.215,"spyw,othm",,,
http://*.infomash.org,"spyw,othm",,,
http://64.210.72.94,"malw,othm",,,
http://*.egotvonline.com,ld,,,
http://*.z0g7yail0.com,"malw,othm",,,
http://*.lkckclckli1i.com,"malw,othm",,,
http://movies.msn.com/hollywood-player/games/,ld,,,
http://*.*,"malw,othm",,,
http://feed.bizzclick.com/*,ld,,,
http://*.iwfybfywi.com,"malw,othm",,,
http://*.acme-photo-screensaver-maker.com,ld,,,
http://*.twingly.com/screensaver,ld,,,
http://*.photo-slideshow-screensaver.com,ld,,,
http://*.hot-screensaver.com,ld,,,
http://*.eatpes.com/fireplace_download.html,ld,,,
http://*.staralliance.com/en/services/screensaver,ld,,,
http://*.screensaverjungle.com,ld,,,
http://*.planetdan.net/pics/misc,ld,,,
http://*.scr.sc/products/dropclock,ld,,,
http://*.economist.com/screensaver,ld,,,
http://www.wnok.com/cc-common/ondemand,ld,,,
http://*.find-all-sites.com,ld,,,
